TESTCASENAME,,EXEC_IND,,"Parameters(separated with comma(,) )",Param1Value,Param2Value,Param3Value,Param4Value,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_9_0,,N,,FACET_SEARCH_CUSTNAME,Allergan,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_9_1,,N,,FACET_SEARCH_CUSTNAME,asrc corp,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_10_0,,N,,FECET_SEARCH_SALESCHANNELNAME,AZ Office - Brian,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_10_1,,N,,FECET_SEARCH_SALESCHANNELNAME,Alcatel,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_11_0,,N,,FACET_SEARCH_INSTALLSITECUSTNAME,160th SOAR,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_11_1,,N,,FACET_SEARCH_INSTALLSITECUSTNAME,650,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_12_0,,N,,FACET_SEARCH_CUSTADDRESS,#1 GENERAL MILLS,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_12_1,,N,,FACET_SEARCH_CUSTADDRESS,04 Mill Warehouse,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_12_2,,N,,FACET_SEARCH_CUSTADRS_STREETVALUE,116,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_12_3,,N,,FACET_SERACH_CUSTADRS_STREETNAME,MIGUEL AVENUE,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_12_4,,N,,FACET_SEARCH_CUSTADRS_CITY,KAPOLEI,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_12_5,,N,,FACET_SEARCH_CUSTADRS_STATE,SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_12_6,,N,,FACET_SEARCH_CUSTADRS_ZIP,96707,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_12_7,,N,,FACET_SEARCH_CUSTADRS_COUNTRY,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_13_0,,N,,"fromDateType, Fromdate(YYYY/M/D), ToDateType, ToDate(YYYY/M/D)",Line Creation Date,8/30/2011,Line Creation Date,8/30/2013,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_13_1,,N,,"fromDateType, Fromdate(YYYY/M/D), ToDateType, ToDate(YYYY/M/D)",Line Creation Date,9/1/2013,Line Creation Date,9/3/2013,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_13_3,,N,,"fromDateType, Fromdate(YYYY/M/D), ToDateType, ToDate(YYYY/M/D)",Maintenance PO Order Date,8/30/2011,Maintenance PO Order Date,8/30/2013,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_13_5,,N,,"fromDateType, Fromdate(YYYY/M/D), ToDateType, ToDate(YYYY/M/D)",Product PO Order Date,8/30/2011,Product PO Order Date,8/30/2013,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_13_7,,N,,"fromDateType, Fromdate(YYYY/M/D), ToDateType, ToDate(YYYY/M/D)",Product PO Ship Date,8/30/2011,Product PO Ship Date,8/30/2013,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_13_9,,N,,"fromDateType, Fromdate(YYYY/M/D), ToDateType, ToDate(YYYY/M/D)",End Date,9/1/2013,End Date,9/1/2013,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_14_0,,N,,"CustomerName,lineType,lineStatusType",Allergan,Expired/Terminated Lines,Include Expired Lines,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_15_0,,N,,"CustomerName,lineType,lineStatusType",Comet Demo Customer,Expired/Terminated Lines,Include Terminated Lines,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_16_0,,N,,"lineType,lineStatusType",Line Publish Status,Needs Review,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_16_1,,N,,"CustomerName,lineType,lineStatusType",NASA,Line Publish Status,Needs Review,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_17_0,,N,,"lineType,lineStatusType",Line Publish Status,Published,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_17_1,,N,,"CusomerName,lineType,lineStatusType",Boeing,Line Publish Status,Published,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_18_0,,N,,"lineType,lineStatusType",Line Publish Status,Not Published,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_18_1,,N,,"CusomerName,lineType,lineStatusType",State Farm,Line Publish Status,Not Published,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_19_0,,N,,"lineType,lineStatusType",Line Support Status,Support,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_19_1,,N,,"CusomerName,lineType,lineStatusType",Allergan,Line Support Status,End of Support,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_0,,Y,,testString,test,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_1,,N,,custName,Alcon,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_2,,N,,testString,test,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_4,,N,,testString,test,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_6,,N,,InstallSiteCustName,160th soar,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_7,,N,,CustAddress,Kellog,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_8,,N,,CustCity,MANDALUYONG,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_9,,N,,CustCountry,Philippines,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_2_0,,Y,,"searchFilterOption, contractNumber",All,1001416,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_2_1,,N,,"getColumnData, contractNumber, custName",Contract #,1001416,"Jack Henry - Corporate, ASRC Corp, ASRC Corp",,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_2_2,,N,,"contractNum, contractPageColumnVal",1001416,"Jack Henry - Corporate, ASRC Corp, ASRC Corp",,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_2_3,,N,,"searchVal1, searchVal2, searchVal3, getColumnData",1001416,1043131,0,Contract #,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_3_0,,N,,"searchByContractNum, contractNum",Contract #,1001416,,,,,,,,,,,,,,,,,,,,,,
