TestCaseName,InternetExplorer,FireFox,GoogleChrome,Err_Msg,LastRunDateTimeStamp
SearchAndFilter_2_0,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_2_1,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_2_2,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_2_3,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_3_0,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_3_1,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_3_2,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_3_3,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_42_0_SingleSearch,,Pass,,,2013/10/18 15:18:36 - FF
 Size: 0,null,null,null,Index: 0,2013/10/18 15:18:36 - SearchAndFilter_42_1
 Size: 0,null,null,null,Index: 0,2013/10/18 15:18:36 - SearchAndFilter_42_2
SearchAndFilter_42_0_MultipleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_41_0_SingleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_41_1,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_41_2,,Fail,,WWT Customer value is upper/lower case. expected [Jack Henry - Corporate] but found [Maritz],2013/10/18 15:18:36 - FF
SearchAndFilter_41_0_MultipleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_4_0_SingleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_4_1,,Fail,,link for contract # to confirm it takes you to the correct contract tab. expected [true] but found [false],2013/10/18 15:18:36 - FF
SearchAndFilter_4_2,,Fail,,WWT Customer value is upper/lower case. expected [Jack Henry - Corporate] but found [Maritz],2013/10/18 15:18:36 - FF
SearchAndFilter_4_0_MultipleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_5_0_SingleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_5_1,,Fail,,expected [Jack Henry - Matrix Group] but found [Jack Henry - Corporate],2013/10/18 15:18:36 - FF
SearchAndFilter_5_2,,Fail,,WWT Customer value is upper/lower case. expected [Boeing] but found [Maritz],2013/10/18 15:18:36 - FF
SearchAndFilter_5_0_MultipleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_6_0_SingleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_6_1,,Fail,,expected [University of Arizona] but found [Jack Henry - Corporate],2013/10/18 15:18:36 - FF
SearchAndFilter_6_2,,Fail,,WWT Customer value is upper/lower case. expected [University of Arizona] but found [Maritz],2013/10/18 15:18:36 - FF
SearchAndFilter_6_0_MultipleSearch,,Pass,,,2013/10/18 15:18:36 - FF
